irn,DarGlobalUniqueIdentifier,DarInstitutionCode,DarCatalogNumber,DarRelatedInformation,DarImageURL,DarKingdom,DarPhylum,DarFamily,DarScientificName,DarCollector,CollectionTeam,CollectionNumberPrefix,CollectionNumber,CollectionNumberSuffix,CollectionNumberText,ColDateVisitedFrom,ColDateVisitedTo,ColVerbatimDate,DarCollectionNotes,DarContinent,DarCountry,DarStateProvince,DarCounty,DarLocality,Township_tab,Range_tab,Section_tab,DarMinimumElevationMeters,DarMaximumElevationMeters,MinimumElevationFeet,MaximumElevationFeet,DarLatitudeDecimal,DarLongitudeDecimal,LatitudeDMS,LongitudeDMS,DarGeodeticDatum,DarGeorefMethod,DarCoordinateUncertaintyInMeter,ColLocationNotes,FeaCultivated? (Y/N),FeaPlantFungDescription,FeaFrequency,HabHabitat,HabVegetation,HabSubstrate,SpeOtherSpecimenNumbers_tab,OcrText
4175419,91485649-cefb-492a-82c9-e12a08e1b1e8,NY,3892175,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4175419,http://sweetgum.nybg.org/images3/3281/030/03892175.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia adiantifolia (L.) Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Mexico & Central America],,,,,,,,"10°45'25""'N 85°31'05""W 80 m
Epipétrica, con luz abundante y materia orgánica
media a escasa.
NEW YORK BOTANICAL GARDEN
03892175
Alexander Rot1as 4227	3 FEB1998
& A. Soto ¿ C Cjrjr*
INSTITUTO NACIONAL DE BIODIVERSIDAD (INB)
En colaboración con el Hissouri Botanical Carden (ÍK))
03892175"
4176221,1287952c-d47c-4bec-b5a8-5d5843f2aaa5,NY,3892857,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4176221,http://sweetgum.nybg.org/images3/3281/654/03892857.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia australis (Mickel) M.Kessler & A.R.Sm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"^fio'vas
Mr C*. v /i^74i e^\\f\j,
\7ffvfr&r-p o(x.	£>& &2j&
(/ ' /
J'%&vtMC4s<Pv db C&bcLty&as.
<2r: prrr ,
/> *U>.
^. ìJUJ^Uf}^ rn>Uà, >
NEW YORK BOTANICAL GARDEN
HERBARIUM OF OTTO KUIMTZE'
PRESENTED BY MR. ANDREW CARNEGIE
1908
UNIVERSITY OF MICHIGAN
Anemia tomentosa (Sav.) Swartz
^r.o^u: -WÙ4
det. John T. Mickel	1961
New York Botanical Garden
Anemia australis Mickel
det. J. T. Mickel, 2010
03892857"
4176326,a51f271c-44c8-4461-90e4-12d03aa7f4fd,NY,3892962,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4176326,http://sweetgum.nybg.org/images3/3281/757/03892962.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia ferruginea Kunth var. ferruginea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"New York Botanical Garden
Anemia ferruginea Kunth
var. ferruginea
det. J. T. Mickel, 2012
FLORA OF ECUADOR
Simón Lasgaard
20228	Schizaeaceae
Anemia ferruginea Kunth
det. by Ollgaard, B. (AAU), 2000.
LO JA. Las Chinchas - Portovelo ca 18 km below Zumbe.
(79° 34' W 3° 51' S). Alt. 1150 m.	Jun 04, 1999
Roadbank.
Department of Systematic Botany, University of Aarhus, Denmark (AAU) in
collaboration with Herbario Reinaldo Espinosa, Ecuador (LOJA)
03892962"
4176393,0510af28-711b-4aa9-8168-d3816a20491e,NY,3893029,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4176393,http://sweetgum.nybg.org/images3/3281/823/03893029.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia herzogii Rosenst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"c2i\\w>*
Oby>^ ^rW.)
New York Botanical Garden
! det. J. T. Mickel, 2013
Flora Subtropical:
Fam.: ^	^ ®
N. Cient.: fiv\H	h 4 v
N. Vulgar:
Lugar: /ty«£sa¿a Je I 35 Co/mena;»
Loc.:P,K)zc. C? li
Fecha: jf»	Nro. / 3/ 5\
Observaciones:
Coje do f^jroLOrt Mdmm 4?yea
03893029
03893029"
2808385,61ce0883-a4a1-4b07-aff3-ebc0555ffd06,NY,2553925,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808385,http://sweetgum.nybg.org/images3/3280/583/02553925.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia hirsuta Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"NEW YORK BOTANICAL GARDEN
.........02553925
cerrado, with pebbly clay soil.
Terrestrial in cerrado.
William R. Anderson 8768	_ 13 April 1978
Field work supported in part by funds from the National Science Foundation
and conducted with the collaboration of the Unhrersidade de Brasilia and the
Instituto de Pesquisas e Experimentado Agricola do Norte.
02553925"
2808387,f3864290-b1ea-42ce-825f-19f7a66c7a6f,NY,2553926,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808387,http://sweetgum.nybg.org/images3/3280/584/02553926.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia hirsuta Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"New York Botanical Garden
! det. J. T. Mickel, 2013
Herbário BHCB
No. 125053
02553926
Familia: Anemiaceae	)c
Espèrie: Anemia	""—'i 4
Data:
Localidade: Brasil, Minas Gerais* Paraisópolis, Estrada para o Parque
Ecológico do Brejo Grande, Floresta Ombrófila Densa.
22°35’02"" S, 45°46157"" W	Altitude: 906m
Colefor: Almeida, T.E. 1540	Data: 30/10/2008
Kamino, L.H.Y. & Giacomin, L.L.
Notas: Rupicola em afloramento rochoso, beira de estrada. PRENSADO
EM ÀLCOOL
02553926"
4175676,0db7e8d4-99aa-4205-8f64-0e7ac371a70e,NY,3892317,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4175676,http://sweetgum.nybg.org/images3/3281/163/03892317.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia hirsuta Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[Mexico & Central America],,,,,,,,"NEW YORK BOTANICAL GARDEN
03892317
UNIVERSITY OF MICHIGAN
Anemia hirsuta (y Swartz
det. John T. Mickel
03892317"
4176442,c7350e25-ba84-4337-b79c-a92da5dfcabe,NY,3893078,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4176442,http://sweetgum.nybg.org/images3/3281/868/03893078.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia hirsuta Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"Anemia hirsuta (L.) Sw.
Revised for Flora of Ecuador by
Benjamin 011gaard (AAU) 1999.
FLORA OF ECUADOR
Collected by L. Holm-Nielsen & J. Jaramillo
No. 28930	Sohizaeaceae
Anemia hirsuta Sw.
Det. B. 011gaard, 1984
Prov. IMBABURA:
1980.
Terrestrial.
Botanical Institute, University of Aarhus, Denmark (AAU). Project directed by L.B.Holm-Nlelsen and B.OIIgaard
in collaboration with P. Universidad Católica (QCA) and Museo Ecuatoriano de Ciencias Naturales (QNA), Quito.
03893078"
4176444,f8eab2ea-0245-4563-9947-17b3ebe40230,NY,3893080,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4176444,http://sweetgum.nybg.org/images3/3281/870/03893080.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia hirsuta Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"Anemia hirsuta (L.) Sw.
Revised for Flora of Ecuador by
Benjamin 011gaard (AAU) 1999.
FLORA OF ECUADOR
Collected by L. Holm-Nielsen & J. Jaramillo
No. 28947	Schizaeaceae
Anemia hirsuta Sw.
Det. B. 011gaard, 1984
Prov. IMBABURA:
Between Guayupe and Penas Negras. Deciduous montane
forest. (78 15fW 0P44*N) Alt. 1050 m. 6 Dec. 1980.
Terrestrial.
Botanical Institute, University of Aarhus, Denmark (AAU). Project directed by LB.Holm-Nlelsen and B.0llgaard
In collaboration with P. Universidad Católica (QCA) and Museo Ecuatoriano de Ciencias Naturales (QNA), Quito.
03893080"
4429889,00b90774-306a-4a7b-9efd-baa3d3b9979f,NY,4112205,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4429889,http://sweetgum.nybg.org/images3/3547/441/04112205.jpg,Plantae,Pteridophyta,Anemiaceae,Anemia hirsuta Sw.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[South America],,,,,,,,"SA
fiei(\
The New York Botanical Garden
/W#*'* hirjufa [l) 5V.
Robbin C. Moran, 2019 (NY)
Flora of Brasil
STATE 0? G0IÀS
Anemia
I-Iunicipio. &e Caldas ITovas: at headwaters of
the crook, £io Quonte, near hotel, ""Pousada
do Bid Quente”, at foot of west side of the
Sorra de Caldas (a flat-topped hatholithic
domo), 13 km due TOT. of city of CALMS NOVAS.
17648*1, 48245*W.	£0 Dec 1974
In crook vallojr carved into side of cerra.
400 © upstream from hotel. Collected on vor~
tical weathored quartzite rock oliff on upper
part of the oreek-valley side.
This ne* fern.
log, Ezeohias P. Eeringer & George Eiten,
ns 14125
04112205"
